순위,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,네일,KIA,2.53,26,12,0,0,0,0,16,188,115,1.63
2,하트,NC,2.69,26,13,0,0,0,0,7,142,131,1.08
3,반즈,롯데,3.35,25,9,0,0,0,0,18,154,103,1.50
4,후라도,키움,3.36,30,10,0,0,0,0,21,211,166,1.27
5,코너,삼성,3.43,28,11,0,1,0,0,7,123,186,0.66
6,원태인,삼성,3.66,28,15,0,1,0,0,6,160,186,0.86
7,헤이수스,키움,3.68,30,13,0,0,0,0,12,149,169,0.88
8,손주영,LG,3.79,27,9,0,0,0,0,16,173,125,1.38
9,레예스,삼성,3.81,26,11,0,0,0,0,7,144,158,0.91
10,윌커슨,롯데,3.84,32,12,0,1,0,0,11,175,232,0.75
11,류현진,한화,3.87,28,10,0,0,0,0,18,182,140,1.30
12,양현종,KIA,4.10,29,11,0,2,0,0,14,174,201,0.87
13,쿠에바스,KT,4.10,31,7,0,0,0,0,9,155,199,0.78
14,엔스,LG,4.19,30,13,0,0,0,0,12,167,156,1.07
15,곽빈,두산,4.24,30,15,0,0,0,0,10,140,192,0.73
16,하영민,키움,4.37,28,9,0,0,0,0,13,155,182,0.85
17,벤자민,KT,4.63,28,11,0,0,0,0,8,143,141,1.01
18,박세웅,롯데,4.78,30,6,0,0,0,0,18,205,172,1.19
19,엄상백,KT,4.88,29,13,0,0,0,0,4,105,193,0.54
20,김광현,SSG,4.93,31,12,0,0,0,0,18,157,152,1.03
